code,product_name,brands,categories_en,countries_en,nutriscore_grade,nutriscore_score,nova_group,energy_kcal_100g,fat_100g,saturated_fat_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,carbohydrates_100g,ingredients_text,additives_n,labels_en,sat_fat_ratio,protein_density,sugar_density,has_additives,n_ingredients,has_added_sugar,has_palm_oil,claims_healthy,health_claim,actually_unhealthy,is_DE,grade_upper,is_health_marketed
4088700045077,Sardines in Springwater,Ocean Rise,"Seafood,Fishes and their products,Canned foods,Fishes,Fatty fishes,Canned fishes,Sardines,Canned sardines",Australia,a,-3.0,3.0,97.8665593237394,6.55555555555556,1.0,0.555555555555556,0.0,22.3333333333333,0.786111111111111,0.314444444444444,0.555555555555556,"Sardines (Clupeiformes) (Fish) (72%), Springwater (27%), Salt. CONTAINS FISH.",0.0,"No preservatives,Health Star Rating,Health Star Rating 4",0.1525423728813558,0.2282018851756641,0.0056766638103399,0,3,0,0,0,,0,0,A,Other
4088700050033,Dried Turkish Apricots,Sweet Vine,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Fruits based foods,Dried products,Dried plant-based foods,Dried fruits,Dried apricots",Australia,c,5.0,1.0,209.528362014022,0.333333333333333,0.333333333333333,43.0,9.33333333333333,2.33333333333333,0.0416666666666667,0.0166666666666667,54.6666666666667,Sun dried apricots,0.0,,1.0,0.0111361216730037,0.2052228136882126,0,1,0,0,0,,0,0,C,Other
4088700051900,ORIGINAL CRINKLE CUT POTATO CHIPS,Sprinters,"Plant-based foods and beverages,Plant-based foods,Snacks,Cereals and potatoes,Salty snacks,Appetizers,Chips and fries,Crisps,Potato crisps",Australia,d,14.0,3.0,548.0,34.8,2.4,1.2,2.8,6.8,1.39,0.556,50.8,"Potatoes (64%), Vegetable Oils, Salt (1%), Mineral Salt (508), Antioxidants (307b, 300, 392, 330). MAY CONTAIN MILK, SOY. Suitable for Vegetarians.",5.0,"Vegetarian,No gluten,Australian made",0.0689655172413793,0.0124087591240875,0.0021897810218978,1,9,0,0,0,,1,1,D,Other
4088700051993,Thousand Island Dressing,"Aldi, Colway","Condiments,Sauces,Salad dressings,Thousand island dressing,Groceries,Thousand-island-salad-dressing,Thousand-island-sauce",Australia,e,22.0,4.0,267.68642,19.0,2.5,20.5,0.0,1.0,2.25,0.9,23.0,"water, vegetable oil [contains antioxidant (320)), sugar, vinegar, gherkin relish (9%) [cucumber, sugar, salt, acidity regulator (260), thickener (415), preservative (223)], tomato paste (6%) (tomato, acidity regulator (330)), egg yolk, thickeners (1412, 415 from soy), spices, paprika, acidity regulator (330), contains egg, soy and sulphites, may contain peanuts, suitable for vegetarians,",6.0,"Vegetarian,Australian made",0.131578947368421,0.003735714348154,0.0765821441371586,1,23,1,0,0,,1,1,E,Other
4088700053577,Diced Tomatoes,Remano,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Canned foods,Vegetables based foods,Canned plant-based foods,Vegetables,Canned vegetables,Tomatoes and their products,Tomatoes",Australia,a,-5.0,4.0,40.0,0.1,0.1,2.3,1.2,0.9,0.025,0.01,3.1,"Tomatoes (99%) (Diced Tomatoes, Tomato Juice), Firming Agent (509) Product Includes 67% Diced Tomatoes And 32% Tomato Juice. Suitable for Vegetarians and Vegans",0.0,,1.0,0.0225,0.0574999999999999,0,3,0,0,0,,0,0,A,Other
4088700053935,"Yellowfin Tuna, Italian Style In Oil With Chilli",OceanRise,"Seafood,Fishes and their products,Canned foods,Fishes,Fatty fishes,Canned fishes,Tunas,Canned tunas,Tuna chunks",Australia,c,3.0,,170.666666666667,7.33333333333333,1.2,0.133333333333333,0.0,25.8666666666667,1.46,0.26,0.133333333333333,,0.0,"Health Star Rating,Health Star Rating 4",0.1636363636363637,0.1515624999999999,0.0007812499999999,0,1,0,0,0,,0,0,C,Other
4088700054369,Long Grain White Rice,Imperial Grain,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Seeds,Cereals and their products,Cereal grains,Rices,Long grain rices",Australia,b,1.0,,108.80451607029,0.857142857142857,0.285714285714286,0.285714285714286,0.0,7.85714285714286,0.01785,0.0071428571428571,68.1428571428571,,0.0,"No preservatives,Health Star Rating,Health Star Rating 3.5",0.3333333333333337,0.0722133891213392,0.0026259414225941,0,1,0,0,0,,0,0,B,Other
4088700054901,Potset Greek Style Yogurt Natural,Lyttos,"Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Fermented dairy desserts,Yogurts,Greek-style yogurts","Australia,Germany",c,5.0,1.0,111.0,8.9,5.8,3.0,0.0,3.3,0.085,0.034,3.5,"Pasteurised Milk, Cream (Milk), Live Cultures (Milk) [including aBc Probiotic Cultures (Lactobacillus acidophilus, Bifidobacterium lactis, Lactobacillus casei. CONTAINS MILK. Suitable for Vegetarians. Keep upright. Keep refrigerated. Store below 4 °C.",0.0,Vegetarian,0.6516853932584269,0.0297297297297297,0.027027027027027,0,5,0,0,0,,0,0,C,Other
4088700055489,Jasmine Rice,Imperial Grain,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Seeds,Cereals and their products,Cereal grains,Rices,Aromatic rices,Indica rices,Long grain rices,Jasmine rice",Australia,b,1.0,,267.142857142857,1.0,0.285714285714286,1.42857142857143,0.0,7.28571428571428,0.0178571428571429,0.0071428571428571,55.7142857142857,"jasmine rie (100%), suitable for vegetarians and vegans, store ih a col, dry place, once dpened, store in an airtight container, resealable for freshness, product of thailand kour nearest aldi store for a full refund or placement, ald stores, 1 sargents road mchinbury nsw 2770 www,aldi,com,au best before: 23 mafch 2023 wd 04 00960 30364 tha om mali rice 100%",0.0,"Health Star Rating,Health Star Rating 3.5",0.285714285714286,0.0272727272727272,0.0053475935828877,0,13,0,0,0,,0,0,B,Other
4088700057254,Premium Spreadable Dairy Blend,Butterfully,"Dairies,Fats,Spreads,Spreadable fats,Animal fats,Dairy spreads,Milkfat,Butters",Australia,e,34.0,4.0,616.634799235181,68.0,28.0,2.0,0.0,2.0,12.0,4.8,2.0,"Cream (Milk), Vegetable Oils (Includes Palm Oil), Butter Oil (Milk), Salt, Buttermilk Powder (Milk), Emulsifier (322) (Soy), Flavour, Vitamin A, Vitamin D, Colour (160a). CONTAINS MILK, SOY. Product includes 60% Minimum Dairy Content and 34% Minimum Vegetable Oil. Contributes to the Production of Sustainable Palm Oil.",2.0,"Sustainable,Sustainable Palm Oil,Health Star Rating,Health Star Rating 1",0.4117647058823529,0.0032434108527131,0.0032434108527131,1,11,0,1,0,,1,1,E,Other
